shortName,symbol,fullExchangeName,dividendDate,trailingAnnualDividendRate,trailingAnnualDividendYield
Atlas Energy Solutions Inc.,AESI,NYSE,,0.0,0.0
Anfield U.S. Equity Sector Rota,AESR,BATS,,,
"Aeva Technologies, Inc.",AEVA,NYSE,,0.0,0.0
,AEVA-WS,,,,
"ADDvantage Technologies Group, ",AEY,NasdaqCM,,0.0,0.0
"AudioEye, Inc.",AEYE,NasdaqCM,2018-08-07 19:00:00,0.0,0.0
Aeterna Zentaris Inc.,AEZS,NasdaqCM,,0.0,0.0
Aura FAT Projects Acquisition C,AFAR,NasdaqGM,,0.0,0.0
Aura FAT Projects Acquisition C,AFARU,NasdaqGM,,0.0,0.0
Aura FAT Projects Acquisition C,AFARW,NasdaqGM,,0.0,0.0
AllianceBernstein National Muni,AFB,NYSE,2019-02-14 18:00:00,0.58,0.055080723
"Affinity Bancshares, Inc.",AFBI,NasdaqCM,,0.0,0.0
"AFC Gamma, Inc.",AFCG,NasdaqGM,2023-04-13 19:00:00,2.23,0.1805668
"American Financial Group, Inc.",AFG,NYSE,2023-02-27 18:00:00,2.38,0.02052432
"American Financial Group, Inc. ",AFGB,NYSE,2023-03-29 19:00:00,,
"American Financial Group, Inc. ",AFGC,NYSE,2023-03-14 19:00:00,,
"American Financial Group, Inc. ",AFGD,NYSE,2023-02-28 18:00:00,,
"American Financial Group, Inc. ",AFGE,NYSE,2023-03-14 19:00:00,,
"Acutus Medical, Inc.",AFIB,NasdaqGS,,0.0,0.0
Anfield Universal Fixed Income ,AFIF,BATS,,,
VanEck Africa Index ETF,AFK,NYSEArca,,0.0,0.0
AFLAC Incorporated,AFL,NYSE,2023-02-28 18:00:00,1.6,0.026126714
First Trust Active Factor Large,AFLG,NYSEArca,,,
First Trust Active Factor Mid C,AFMC,NYSEArca,,,
Affimed N.V.,AFMD,NasdaqGM,,0.0,0.0
Forafric Global PLC,AFRI,NasdaqCM,,0.0,0.0
Forafric Global PLC Warrants,AFRIW,NasdaqGM,,0.0,0.0
"Affirm Holdings, Inc.",AFRM,NasdaqGS,,0.0,0.0
First Trust Active Factor Small,AFSM,NYSEArca,,,
Apollo Senior Floating Rate Fun,AFT,NYSE,2019-02-19 18:00:00,1.094,0.087450035
