shortName,symbol,fullExchangeName,dividendDate,trailingAnnualDividendYield,averageAnalystRating,trailingPE,trailingAnnualDividendRate
Ashland Inc.,ASH,NYSE,2023-03-14 19:00:00,0.013684982,2.2 - Buy,28.945946,1.305
AdvanSix Inc.,ASIX,NYSE,2023-03-16 19:00:00,0.016110472,1.7 - Buy,6.227113,0.56
ASML Holding N.V. - New York Re,ASML,NasdaqGS,2023-05-09 19:00:00,0.009560072,1.7 - Buy,43.12996,5.8
"Academy Sports and Outdoors, In",ASO,NasdaqGS,2023-04-12 19:00:00,0.0,1.6 - Buy,9.13502,0.0
Grupo Aeroportuario del Sureste,ASR,NYSE,2022-06-12 19:00:00,0.0,2.4 - Buy,16.533749,0.0
AmeriServ Financial Inc.,ASRV,NasdaqGM,2023-02-20 18:00:00,0.03203343,,8.674418,0.115
"Astec Industries, Inc.",ASTE,NasdaqGS,2023-03-29 19:00:00,0.0123550175,2.0 - Buy,,0.49
Algoma Steel Group Inc.,ASTL,NasdaqGM,2023-03-30 19:00:00,0.03468586,2.4 - Buy,4.3480663,0.265
"ASE Technology Holding Co., Ltd",ASX,NYSE,2022-08-03 19:00:00,0.0,2.3 - Buy,8.5222225,0.0
Atlas Corp.,ATCO,NYSE,2023-01-29 18:00:00,0.032404408,2.5 - Buy,7.509709,0.5
Atlas Corp. - 7.125% Notes due ,ATCOL,NasdaqGM,2023-10-29 19:00:00,0.021367522,,13.73848,0.5
"A10 Networks, Inc.",ATEN,NYSE,2023-02-28 18:00:00,0.014623955,1.7 - Buy,23.790323,0.21
Autohome Inc.,ATHM,NYSE,2023-04-10 19:00:00,0.13577732,2.1 - Buy,14.6146345,4.0
Atlanticus Holdings Corporation,ATLCL,NasdaqGM,2023-01-31 18:00:00,,,,
Atlanticus Holdings Corporation,ATLCP,NasdaqGS,2023-03-14 19:00:00,0.0,,2.3097777,0.0
Ames National Corporation,ATLO,NasdaqCM,2023-05-14 19:00:00,0.051873203,,10.09434,1.08
"ATN International, Inc.",ATNI,NasdaqGS,2023-01-05 18:00:00,0.017812965,1.7 - Buy,,0.72
Atmos Energy Corporation,ATO,NYSE,2023-03-05 18:00:00,0.024433117,2.3 - Buy,19.954624,2.78
"AptarGroup, Inc.",ATR,NYSE,2023-02-22 18:00:00,0.013646974,2.5 - Buy,31.387188,1.52
Atrion Corporation,ATRI,NasdaqGS,2023-03-30 19:00:00,0.01380448,,31.043905,8.2
"Activision Blizzard, Inc",ATVI,NasdaqGS,2022-05-05 19:00:00,0.0,2.0 - Buy,41.383423,0.0
AngloGold Ashanti Limited,AU,NYSE,2023-04-09 19:00:00,0.02407422,2.3 - Buy,27.535212,0.47
Atlantic Union Bankshares Corpo,AUB,NYSE,2023-02-23 18:00:00,0.032666855,1.8 - Buy,12.549488,1.16
"Auburn National Bancorporation,",AUBN,NasdaqGM,2023-03-26 19:00:00,0.045611013,,7.9093957,1.06
AudioCodes Ltd.,AUDC,NasdaqGS,2023-03-06 18:00:00,0.0252809,2.6 - Hold,16.772728,0.36
"Applied UV, Inc. - 10.5% Series",AUVIP,NasdaqCM,2023-03-14 19:00:00,0.0,,,0.0
Yamana Gold Inc.,AUY,NYSE,2023-01-12 18:00:00,0.021778584,2.6 - Hold,20.259258,0.12
Avista Corporation,AVA,NYSE,2023-03-14 19:00:00,0.042542905,3.5 - Hold,19.674528,1.76
Grupo Aval Acciones y Valores S,AVAL,NYSE,2022-06-06 19:00:00,0.0,2.7 - Hold,7.925926,0.0
"AvalonBay Communities, Inc.",AVB,NYSE,2023-04-16 19:00:00,0.03742718,2.7 - Hold,20.376848,6.36
American Vanguard Corporation,AVD,NYSE,2023-01-10 18:00:00,0.005162242,2.0 - Buy,22.934782,0.105
Broadcom Inc.,AVGO,NasdaqGS,2023-03-30 19:00:00,0.027793752,2.0 - Buy,21.657026,17.4
Avient Corporation,AVNT,NYSE,2023-04-05 19:00:00,0.025323134,1.7 - Buy,43.011112,0.96
"Avnet, Inc.",AVT,NasdaqGS,2023-03-14 19:00:00,0.026227945,3.0 - Hold,5.0034685,1.1
Avery Dennison Corporation,AVY,NYSE,2023-03-14 19:00:00,0.017112488,1.9 - Buy,18.95254,2.93
Armstrong World Industries Inc,AWI,NYSE,2023-03-15 19:00:00,0.014053899,2.4 - Buy,16.325527,0.97
"American Water Works Company, I",AWK,NYSE,2023-02-28 18:00:00,0.018253572,2.5 - Buy,31.62971,2.567
American States Water Company,AWR,NYSE,2023-02-28 18:00:00,0.017448513,3.0 - Hold,41.61321,1.525
American Express Company,AXP,NYSE,2023-05-09 19:00:00,0.013015456,2.4 - Buy,16.742706,2.08
Axis Capital Holdings Limited,AXS,NYSE,2023-04-17 19:00:00,0.03272796,2.7 - Hold,23.48718,1.73
Atlantica Sustainable Infrastru,AY,NasdaqGS,2023-03-24 19:00:00,0.06456894,2.5 - Buy,,1.775
"Acuity Brands, Inc.",AYI,NYSE,2023-02-13 18:00:00,0.0028042928,2.6 - Hold,17.0018,0.52
Astrazeneca PLC,AZN,NasdaqGS,2023-03-26 19:00:00,0.044905543,1.9 - Buy,62.8381,2.9
AZZ Inc.,AZZ,NYSE,2023-02-06 18:00:00,0.017364658,2.3 - Buy,9.866498,0.68
"Barnes Group, Inc.",B,NYSE,2023-03-09 18:00:00,0.016877638,2.5 - Buy,153.08,0.64
Bank of America Corporation,BAC,NYSE,2023-03-30 19:00:00,0.030186031,2.4 - Buy,9.167721,0.86
BayFirst Financial Corp.,BAFN,NasdaqCM,2023-03-14 19:00:00,0.017877094,,15.429825,0.32
Booz Allen Hamilton Holding Cor,BAH,NYSE,2023-02-28 18:00:00,0.019060284,2.3 - Buy,28.388714,1.72
Braskem SA,BAK,NYSE,2022-05-11 19:00:00,0.0,2.0 - Buy,7.591398,0.0
Ball Corporation,BALL,NYSE,2023-03-14 19:00:00,0.015355087,2.7 - Hold,23.58371,0.8
Brookfield Asset Management Inc,BAM,NYSE,2023-03-30 19:00:00,0.010379501,2.6 - Hold,27.394737,0.32
"Banc of California, Inc.",BANC,NYSE,2023-04-02 19:00:00,0.017883755,2.1 - Buy,7.164021,0.24
BancFirst Corporation,BANF,NasdaqGS,2023-04-16 19:00:00,0.018397482,3.2 - Hold,15.164049,1.52
BancFirst Corporation - 7.2% Cu,BANFP,NasdaqGS,2023-04-16 19:00:00,,,,
Banner Corporation,BANR,NasdaqGS,2023-02-12 18:00:00,0.03250231,2.0 - Buy,10.107584,1.76
StoneCastle Financial Corp,BANX,NasdaqGM,2022-01-04 18:00:00,0.089758344,2.0 - Buy,24.30986,1.56
Credicorp Ltd.,BAP,NYSE,2022-06-09 19:00:00,0.0,2.3 - Buy,8.642177,0.0
Baxter International Inc.,BAX,NYSE,2023-04-02 19:00:00,0.030081088,2.5 - Buy,,1.15
Banco BBVA Argentina S.A.,BBAR,NYSE,2023-01-03 18:00:00,0.0,3.0 - Hold,2.7417219,0.0
Banco Bradesco Sa,BBD,NYSE,2023-05-11 19:00:00,0.24202335,2.7 - Hold,7.4166665,0.622
"Barings BDC, Inc.",BBDC,NYSE,2023-03-14 19:00:00,0.1232166,1.9 - Buy,153.8,0.95
Banco Bradesco Sa,BBDO,NYSE,2023-05-11 19:00:00,0.27892375,,6.3055553,0.622
"Barrett Business Services, Inc.",BBSI,NasdaqGS,2023-03-30 19:00:00,0.01412097,1.5 - Strong Buy,13.9374,1.2
Brookfield Business Partners L.,BBU,NYSE,2023-03-30 19:00:00,0.014880953,2.6 - Hold,23.37143,0.25
Brookfield Business Corporation,BBUC,NYSE,2023-03-30 19:00:00,0.010609481,,1.3953301,0.188
Banco Bilbao Vizcaya Argentaria,BBVA,NYSE,2023-04-19 19:00:00,0.06584992,1.0 - Strong Buy,6.938144,0.43
"Build-A-Bear Workshop, Inc.",BBW,NYSE,2023-04-05 19:00:00,0.0,2.0 - Buy,7.6095233,0.0
"Bath & Body Works, Inc.",BBWI,NYSE,2023-03-02 18:00:00,0.022785531,2.0 - Buy,10.61747,0.8
"Best Buy Co., Inc.",BBY,NYSE,2023-04-12 19:00:00,0.04659166,3.0 - Hold,12.255961,3.52
Brunswick Corporation,BC,NYSE,2023-03-14 19:00:00,0.018215846,1.9 - Buy,9.103175,1.46
"BCB Bancorp, Inc. (NJ)",BCBP,NasdaqGM,2023-02-16 18:00:00,0.04494382,3.0 - Hold,5.2803025,0.64
"Boise Cascade, L.L.C.",BCC,NYSE,2023-03-14 19:00:00,0.008281909,3.0 - Hold,2.9814727,0.51
"BCE, Inc.",BCE,NYSE,2023-04-14 19:00:00,0.08477309,2.8 - Hold,20.194443,3.68
Banco De Chile Banco De Chile,BCH,NYSE,2023-03-29 19:00:00,0.0,2.9 - Hold,5.6295185,0.0
BayCom Corp,BCML,NasdaqGS,2023-04-13 19:00:00,0.011594203,1.7 - Buy,8.652174,0.2
